Date	Price	Open	High	Low	Vol.	Change %
3/19/2026	0.2703	0.2571	0.28	0.25	4.46M	8.12%
3/18/2026	0.25	0.255	0.28	0.24	4.84M	-5.66%
3/17/2026	0.265	0.255	0.32	0.24	9.94M	3.92%
3/16/2026	0.255	0.21	0.27	0.21	9.48M	21.43%
3/13/2026	0.21	0.175	0.22	0.16	5.30M	20.00%
3/12/2026	0.175	0.17	0.19	0.16	4.14M	2.94%
3/11/2026	0.17	0.19	0.2	0.1675	2.34M	-10.53%
3/10/2026	0.19	0.19	0.2	0.18	1.22M	0.00%
3/9/2026	0.19	0.19	0.2	0.18	1.05M	0.00%
3/6/2026	0.19	0.19	0.18	0.18	42.66K	0.00%
3/5/2026	0.19	0.195	0.2	0.18	1.02M	-2.56%
3/4/2026	0.195	0.19	0.2	0.1804	834.09K	2.63%
3/3/2026	0.19	0.185	0.2	0.175	1.13M	2.70%
3/2/2026	0.185	0.185	0.2	0.17	2.30M	2.78%
2/27/2026	0.18	0.19	0.2	0.17	2.57M	-5.26%
2/26/2026	0.19	0.2	0.21	0.19	548.14K	-5.00%
2/25/2026	0.2	0.19	0.21	0.18	3.22M	8.11%
2/24/2026	0.185	0.195	0.2	0.18	3.38M	-5.13%
2/23/2026	0.195	0.195	0.1985	0.1822	913.32K	0.00%
2/20/2026	0.195	0.195	0.21	0.18	19.25K	0.00%
2/19/2026	0.195	0.195	0.21	0.18	381.54K	0.00%
